,LON,LAT,NAME,CLUSTER_kmeans(k),CLUSTERS_DBSCAN,CLUSTER_HDBSCAN,CLUSTER_hybrid
0,28.17858,-25.73882,11th Street Taxi Rank,15,0,19,19
1,28.1766,-25.73795,81 Bazaar Street Taxi Rank,15,0,19,19
2,27.832390000000004,-26.53722,Adams Road Taxi Rank,5,-1,-1,26
3,28.125140000000002,-26.266659999999998,Alberton City Mall Taxi Rank,33,-1,-1,41
4,28.101440000000004,-26.10567,Alexandra Main Taxi Rank,18,1,55,55
5,28.10125,-26.10605,Alexandra Main Taxi Rank,18,1,55,55
6,28.10185,-26.10537,Alexandra Main Taxi Rank,18,1,55,55
7,28.10165,-26.104789999999998,Alexandra Taxi Rank,18,1,55,55
8,28.101509999999998,-26.10594,Alexandra Taxi Rank,18,1,55,55
9,28.101999999999997,-26.10576,Alexandra Taxi Rank,18,1,55,55
10,28.512059999999998,-26.43641,Alra Park Taxi Rank,59,-1,-1,13
11,28.19932,-26.02136,Andrew Mapheto Drive Taxi Rank,51,2,40,40
12,28.19006,-25.74244,Andries Street Taxi Rank,15,0,19,19
13,28.190140000000003,-25.741970000000002,Andries Street Taxi Rank,15,0,19,19
14,28.1901,-25.74185,Andries Street Taxi Rank,15,0,19,19
15,28.280359999999998,-26.15972,Atlasville Taxi Rank,14,-1,-1,44
16,27.94085,-26.25974,Bara Taxi Rank,20,3,61,61
17,27.940379999999998,-26.25961,Bara Taxi Rank,20,3,61,61
18,27.94234,-26.259729999999998,Bara Taxi Rank,20,3,61,61
19,27.942009999999996,-26.25923,Baragwanath Taxi Rank,20,3,61,61
20,27.94325,-26.25931,Baragwanath Taxi Rank,20,3,61,61
21,27.942079999999997,-26.2599,Baragwanath Taxi Rank,20,3,61,61
22,27.937109999999997,-26.259059999999998,Baragwanath Taxi Rank,20,3,61,61
23,27.94081,-26.259,Baragwanath Taxi Rank,20,3,61,61
24,27.70334,-26.282709999999998,Bekkersdal Taxi Rank,37,-1,-1,57
25,28.18045,-25.73836,Belle Ombre Taxi Rank,15,0,19,19
26,28.048840000000002,-26.10024,Benmore Shopping Centre Taxi Rank,18,-1,54,54
27,28.04962,-26.10097,"Benmore Taxi Rank, Grayston Drive",18,-1,54,54
28,28.313240000000004,-26.19837,Benoni Station Taxi Rank,14,4,43,43
29,28.3117,-26.19925,Benoni Station Taxi Rank,14,4,43,43
30,28.311459999999997,-26.1994,Benoni Station Taxi Rank,14,4,43,43
31,28.312720000000002,-26.19864,Benoni Station Taxi Rank,14,4,43,43
32,28.31066,-26.19764,Benoni Station Taxi Rank,14,4,43,43
33,28.31069,-26.199820000000003,Benoni Station Taxi Rank,14,4,43,43
34,28.31095,-26.19967,Benoni Station Taxi Rank,14,4,43,43
35,28.31046,-26.19996,Benoni Station Taxi Rank,14,4,43,43
36,28.309790000000003,-26.2004,Benoni Station Taxi Rank,14,4,43,43
37,28.234740000000002,-26.067520000000002,Birchleigh Station Taxi Rank,65,-1,29,29
38,28.23483,-26.067529999999998,Birchleigh Station Taxi Rank,65,-1,29,29
39,28.19112,-25.74036,Bloed Street Mall Taxi Rank,15,0,19,19
40,28.18913,-25.74055,Bloed Street Mall Taxi Rank,15,0,19,19
41,28.388040000000004,-26.38014,Bluegum View Taxi Rank,47,5,13,13
42,27.82767,-26.5628,Boitumelo Taxi Rank,60,-1,-1,26
43,28.252440000000004,-26.224009999999996,Boksburg Taxi Rank,43,-1,35,35
44,28.252090000000003,-26.2239,Boksburg Taxi Rank,43,-1,35,35
45,28.251820000000002,-26.22389,Boksburg Taxi Rank,43,-1,35,35
46,28.19616,-25.7388,Boom Street Taxi Rank`,15,0,19,19
47,27.79717,-26.691329999999997,Bophelong Taxi Rank,11,6,8,8
48,27.79727,-26.691309999999998,Bophelong Taxi Rank,11,6,8,8
49,27.797290000000004,-26.69285,Bophelong Taxi Rank,11,6,8,8
50,27.795859999999998,-26.69118,Bophelong Taxi Rank,11,6,8,8
51,27.796020000000002,-26.69155,"Bophelong Taxi Rank, Corner Dube Street and 12th Street",11,6,8,8
52,27.795920000000002,-26.69138,"Bophelong Taxi Rank, Dube Street",11,6,8,8
53,28.18473,-25.755570000000002,Bosmanstraat Station Taxi Rank,15,0,19,19
54,28.18324,-25.75561,Bosmanstraat Station Taxi Rank,15,0,19,19
55,28.18566,-25.7555,Bosmanstraat Station Taxi Rank,15,0,19,19
57,28.18478,-25.755570000000002,Bosmanstraat Station Taxi Rank,15,0,19,19
58,28.12847,-25.99577,Boulders Shopping Centre Taxi Rank,0,7,30,30
59,28.10292,-26.3124,Brackenhurst Taxi Rank,33,-1,-1,34
60,28.362040000000004,-26.24067,Brakpan Station Taxi Rank,57,8,18,18
61,28.36167,-26.23995,Brakpan Station Taxi Rank,57,8,18,18
62,28.36185,-26.24029,Brakpan Station Taxi Rank,57,8,18,18
63,28.36125,-26.23913,Brakpan Station Taxi Rank,57,8,18,18
64,28.36215,-26.240879999999997,Brakpan Station Taxi Rank,57,8,18,18
65,28.36178,-26.24015,Brakpan Station Taxi Rank,57,8,18,18
66,28.36187,-26.240340000000003,Brakpan Station Taxi Rank,57,8,18,18
67,28.36073,-26.238329999999998,Brakpan Station Taxi Rank,57,8,18,18
68,28.362059999999996,-26.2407,Brakpan Station Taxi Rank,57,8,18,18
69,28.036620000000003,-26.20034,Bree Taxi Rank,7,9,53,53
70,28.0359,-26.200470000000003,Bree Taxi Rank,7,9,53,53
71,28.03612,-26.20151,Bree Taxi Rank,7,9,53,53
72,28.037570000000002,-26.20134,Bree Taxi Rank,7,9,53,53
73,28.03725,-26.20139,Bree Taxi Rank,7,9,53,53
74,28.037509999999997,-26.20131,Bree Taxi Rank,7,9,53,53
75,28.03633,-26.20149,Bree Taxi Rank,7,9,53,53
76,28.0375,-26.20121,Bree Taxi Rank,7,9,53,53
77,28.0374,-26.20136,Bree Taxi Rank,7,9,53,53
78,28.036440000000002,-26.20148,Bree Taxi Rank,7,9,53,53
79,28.03645,-26.20084,Bree Taxi Rank,7,9,53,53
80,28.03657,-26.20035,Bree Taxi Rank,7,9,53,53
81,28.03655,-26.20146,Bree Taxi Rank,7,9,53,53
82,28.035940000000004,-26.20041,Bree Taxi Rank,7,9,53,53
83,28.03652,-26.20146,Bree Taxi Rank,7,9,53,53
84,28.03753,-26.201439999999998,Bree Taxi Rank,7,9,53,53
85,27.78302,-25.63586,Brits Taxi Rank,61,-1,-1,4
86,28.19561,-26.28998,Buhle Park Taxi Rank,2,-1,41,41
87,28.04259,-26.200029999999998,CBD A Taxi Rank,7,9,53,53
88,27.86523,-26.33295,"Capella Street Ext 9, Lenasia Taxi Rank",45,-1,-1,60
89,27.86528,-26.33297,"Capella Street Ext 9, Lenasia Taxi Rank",45,-1,-1,60
91,27.397090000000002,-26.352290000000004,Carletonville Main Taxi Rank,8,10,2,2
92,27.397059999999996,-26.352190000000004,Carletonville Main Taxi Rank,8,10,2,2
93,27.397370000000002,-26.35305,Carletonville Main Taxi Rank,8,10,2,2
94,28.08604,-25.49815,Central City Taxi Rank,42,11,5,5
95,28.08665,-25.4981,Central City Taxi Rank,42,11,5,5
96,27.79635,-26.15731,Chamdor Taxi Rank,62,-1,57,57
97,28.181490000000004,-26.344920000000002,Chris Hani Mall Taxi Rank,30,-1,41,41
98,28.183609999999998,-26.34522,Chris Hani Mall Taxi Rank,30,-1,41,41
99,28.18191,-26.34545,Chris Hani Mall Taxi Rank,30,-1,41,41
100,27.94022,-26.25928,Chris Hani Road Taxi Rank,20,3,61,61
101,27.94015,-26.25907,Chris Hani Road Taxi Rank,20,3,61,61
102,27.939870000000003,-26.25905,Chris Hani Road Taxi Rank,20,3,61,61
103,27.94013,-26.25907,Chris Hani Road Taxi Rank,20,3,61,61
104,28.747259999999997,-25.80485,Church Street Taxi Rank,52,-1,0,0
105,28.183529999999998,-25.75113,Corner Nana Sita Street and Sophie de Bruyn Taxi Rank,15,0,19,19
106,28.192970000000003,-25.7463,Corner Pretorius Street and Helen Joseph Street Taxi Rank,15,0,19,19
107,28.317140000000002,-25.79797,Corner Solomon Mahlangu Drive and Aterbury Road Taxi Rank,4,-1,-1,16
108,28.31731,-25.79825,Corner Solomon Mahlangu Drive and Atterbury Road Taxi Rank,4,-1,-1,16
109,27.97363,-26.187839999999998,Coronation Taxi Rank,20,-1,-1,61
110,27.93833,-26.01725,Cosmo City Taxi Rank,17,12,46,46
111,27.93743,-26.01687,Cosmo City Taxi Rank,17,12,46,46
112,27.93385,-26.019820000000003,Cosmo Taxi Rank,17,12,46,46
113,27.93804,-26.017310000000002,Cosmo Taxi Rank,17,12,46,46
114,27.937479999999997,-26.0177,Cosmocity Taxi Rank,17,12,46,46
115,27.937540000000002,-26.01754,Cosmocity Taxi Rank,17,12,46,46
116,27.834220000000002,-26.06181,Cradlestone Mall Taxi Rank,32,-1,-1,24
117,28.04167,-26.14292,Cradock Taxi Rank,66,13,52,52
118,28.04141,-26.14241,Cradock Taxi Rank,66,13,52,52
119,28.04167,-26.14237,Cradock Taxi Rank,66,13,52,52
120,28.04158,-26.14249,Cradock Taxi Rank (Rosebank),66,13,52,52
121,27.97302,-26.13214,Cresta Mall Taxi Rank,31,-1,-1,51
122,27.971559999999997,-26.129820000000002,Cresta Mall Taxi Rank,31,-1,-1,51
123,27.970959999999998,-26.12969,Cresta Mall Taxi Rank,31,-1,-1,51
124,28.53084,-25.67162,Cullinan Fourways Taxi Rank,21,-1,3,3
125,28.520559999999996,-25.67312,Cullinan Taxi Rank,21,-1,3,3
126,27.936359999999997,-26.301479999999998,Dark City Taxi Rank,20,-1,-1,58
127,28.71655,-25.6864,Dark City Taxi Rank,6,14,0,0
128,28.716279999999998,-25.686429999999998,"Dark City Taxi Rank, Ekangala G",6,14,0,0
129,28.41716,-26.15312,Daveyton Taxi Rank,27,15,17,17
130,28.416970000000003,-26.15175,Daveyton Taxi Rank,27,15,17,17
131,28.416590000000003,-26.15314,Daveyton Taxi Rank,27,15,17,17
132,28.41665,-26.152839999999998,Daveyton Taxi Rank,27,15,17,17
